symptom,age_group,prompt_template,follow_up_questions,diagnosis_list,treatment_otc,treatment_prescription,treatment_home_remedies,treatment_precautions
headache,toddler,Analyze the condition of a toddler child experiencing headache. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the headache start?', 'Has the child experienced this headache before?', 'Are there any other symptoms with the headache?']","['Possible diagnosis 1 for headache', 'Possible diagnosis 2 for headache']",['headache-relief medication (OTC)'],['Prescription treatment for headache'],"['Home care for headache (hydration, rest)']","['Monitor severity of headache, seek help if worsens']"
rash,adolescent,Analyze the condition of a adolescent child experiencing rash. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the rash start?', 'Has the child experienced this rash before?', 'Are there any other symptoms with the rash?']","['Possible diagnosis 1 for rash', 'Possible diagnosis 2 for rash']",['rash-relief medication (OTC)'],['Prescription treatment for rash'],"['Home care for rash (hydration, rest)']","['Monitor severity of rash, seek help if worsens']"
diarrhea,adolescent,Analyze the condition of a adolescent child experiencing diarrhea. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the diarrhea start?', 'Has the child experienced this diarrhea before?', 'Are there any other symptoms with the diarrhea?']","['Possible diagnosis 1 for diarrhea', 'Possible diagnosis 2 for diarrhea']",['diarrhea-relief medication (OTC)'],['Prescription treatment for diarrhea'],"['Home care for diarrhea (hydration, rest)']","['Monitor severity of diarrhea, seek help if worsens']"
joint pain,infant,Analyze the condition of a infant child experiencing joint pain. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the joint pain start?', 'Has the child experienced this joint pain before?', 'Are there any other symptoms with the joint pain?']","['Possible diagnosis 1 for joint pain', 'Possible diagnosis 2 for joint pain']",['joint pain-relief medication (OTC)'],['Prescription treatment for joint pain'],"['Home care for joint pain (hydration, rest)']","['Monitor severity of joint pain, seek help if worsens']"
diarrhea,infant,Analyze the condition of a infant child experiencing diarrhea. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the diarrhea start?', 'Has the child experienced this diarrhea before?', 'Are there any other symptoms with the diarrhea?']","['Possible diagnosis 1 for diarrhea', 'Possible diagnosis 2 for diarrhea']",['diarrhea-relief medication (OTC)'],['Prescription treatment for diarrhea'],"['Home care for diarrhea (hydration, rest)']","['Monitor severity of diarrhea, seek help if worsens']"
diarrhea,school-age,Analyze the condition of a school-age child experiencing diarrhea. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the diarrhea start?', 'Has the child experienced this diarrhea before?', 'Are there any other symptoms with the diarrhea?']","['Possible diagnosis 1 for diarrhea', 'Possible diagnosis 2 for diarrhea']",['diarrhea-relief medication (OTC)'],['Prescription treatment for diarrhea'],"['Home care for diarrhea (hydration, rest)']","['Monitor severity of diarrhea, seek help if worsens']"
eye discharge,infant,Analyze the condition of a infant child experiencing eye discharge. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the eye discharge start?', 'Has the child experienced this eye discharge before?', 'Are there any other symptoms with the eye discharge?']","['Possible diagnosis 1 for eye discharge', 'Possible diagnosis 2 for eye discharge']",['eye discharge-relief medication (OTC)'],['Prescription treatment for eye discharge'],"['Home care for eye discharge (hydration, rest)']","['Monitor severity of eye discharge, seek help if worsens']"
limping,preschool,Analyze the condition of a preschool child experiencing limping. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the limping start?', 'Has the child experienced this limping before?', 'Are there any other symptoms with the limping?']","['Possible diagnosis 1 for limping', 'Possible diagnosis 2 for limping']",['limping-relief medication (OTC)'],['Prescription treatment for limping'],"['Home care for limping (hydration, rest)']","['Monitor severity of limping, seek help if worsens']"
difficulty breathing,adolescent,Analyze the condition of a adolescent child experiencing difficulty breathing. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the difficulty breathing start?', 'Has the child experienced this difficulty breathing before?', 'Are there any other symptoms with the difficulty breathing?']","['Possible diagnosis 1 for difficulty breathing', 'Possible diagnosis 2 for difficulty breathing']",['difficulty breathing-relief medication (OTC)'],['Prescription treatment for difficulty breathing'],"['Home care for difficulty breathing (hydration, rest)']","['Monitor severity of difficulty breathing, seek help if worsens']"
sore throat,adolescent,Analyze the condition of a adolescent child experiencing sore throat. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the sore throat start?', 'Has the child experienced this sore throat before?', 'Are there any other symptoms with the sore throat?']","['Possible diagnosis 1 for sore throat', 'Possible diagnosis 2 for sore throat']",['sore throat-relief medication (OTC)'],['Prescription treatment for sore throat'],"['Home care for sore throat (hydration, rest)']","['Monitor severity of sore throat, seek help if worsens']"
runny nose,infant,Analyze the condition of a infant child experiencing runny nose. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the runny nose start?', 'Has the child experienced this runny nose before?', 'Are there any other symptoms with the runny nose?']","['Possible diagnosis 1 for runny nose', 'Possible diagnosis 2 for runny nose']",['runny nose-relief medication (OTC)'],['Prescription treatment for runny nose'],"['Home care for runny nose (hydration, rest)']","['Monitor severity of runny nose, seek help if worsens']"
vomiting,school-age,Analyze the condition of a school-age child experiencing vomiting. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the vomiting start?', 'Has the child experienced this vomiting before?', 'Are there any other symptoms with the vomiting?']","['Possible diagnosis 1 for vomiting', 'Possible diagnosis 2 for vomiting']",['vomiting-relief medication (OTC)'],['Prescription treatment for vomiting'],"['Home care for vomiting (hydration, rest)']","['Monitor severity of vomiting, seek help if worsens']"
sore throat,infant,Analyze the condition of a infant child experiencing sore throat. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the sore throat start?', 'Has the child experienced this sore throat before?', 'Are there any other symptoms with the sore throat?']","['Possible diagnosis 1 for sore throat', 'Possible diagnosis 2 for sore throat']",['sore throat-relief medication (OTC)'],['Prescription treatment for sore throat'],"['Home care for sore throat (hydration, rest)']","['Monitor severity of sore throat, seek help if worsens']"
frequent urination,preschool,Analyze the condition of a preschool child experiencing frequent urination. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the frequent urination start?', 'Has the child experienced this frequent urination before?', 'Are there any other symptoms with the frequent urination?']","['Possible diagnosis 1 for frequent urination', 'Possible diagnosis 2 for frequent urination']",['frequent urination-relief medication (OTC)'],['Prescription treatment for frequent urination'],"['Home care for frequent urination (hydration, rest)']","['Monitor severity of frequent urination, seek help if worsens']"
fatigue,infant,Analyze the condition of a infant child experiencing fatigue. Consider age-specific red flags and ask relevant follow-up questions.,"['When did the fatigue start?', 'Has the child experienced this fatigue before?', 'Are there any other symptoms with the fatigue?']","['Possible diagnosis 1 for fatigue', 'Possible diagnosis 2 for fatigue']",['fatigue-relief medication (OTC)'],['Prescription treatment for fatigue'],"['Home care for fatigue (hydration, rest)']","['Monitor severity of fatigue, seek help if worsens']"
